"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2008","29.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2009","29.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2010","30.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2011","30.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2012","30.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2013","30.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2014","30.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2015","30.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2016","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2017","31.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2018","31.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2019","32.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2005","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2006","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2007","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2008","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2009","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2010","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2011","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2012","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2013","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2014","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2015","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2016","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2017","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2018","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2019","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","124","CAN","Canada","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2005","29.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2006","29.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2007","29.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2008","29.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2009","29.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2010","30.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2011","30.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2012","30.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2013","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2014","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2015","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2016","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2017","31.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2018","31.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2019","31.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","191","HRV","Croatia","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2005","29.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2006","30.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2007","30.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2008","30.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2009","30.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2010","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2011","31.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2012","30.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2013","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2014","31.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2015","31.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2016","30.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2017","31.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2018","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2019","30.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","196","CYP","Cyprus","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2005","30.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2006","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2007","31.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2008","31.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2009","32.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2010","32.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2011","32.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2012","32.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2013","32.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2014","32.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2015","32.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2016","32.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2017","32.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2018","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2019","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","203","CZE","Czechia","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2005","33.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2006","34.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2007","34.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2008","34.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2009","34.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2010","34.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2011","34.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2012","34.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2013","34.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2014","34.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2015","34.5",
